truth_event_id,count_total,event_ts,notes
img2628-reviewed-0001,1,55.601,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=55.601; pre_alignment_reviewed_ts=53.000; alignment_delta_sec=2.601; observed_track_id=1
img2628-reviewed-0002,2,110.003,reviewer=codex_visual_review; dispute=img2628-dispute-001; Close-frame review of frame_t0105/frame_t0108/frame_t0110 and candidate_03 shows the worker lowering and releasing a wire form into the right output/resting area; draft rejection was revised to countable placement.; aligned_visible_app_event_ts=110.003; pre_alignment_reviewed_ts=110.003; alignment_delta_sec=0.000; observed_track_id=2
img2628-reviewed-0003,3,228.206,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=228.206; pre_alignment_reviewed_ts=224.000; alignment_delta_sec=4.206; observed_track_id=5
img2628-reviewed-0004,4,330.409,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=330.409; pre_alignment_reviewed_ts=329.000; alignment_delta_sec=1.409; observed_track_id=8
img2628-reviewed-0005,5,384.210,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=384.210; pre_alignment_reviewed_ts=382.000; alignment_delta_sec=2.210; observed_track_id=9
img2628-reviewed-0006,6,435.211,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=435.211; pre_alignment_reviewed_ts=433.000; alignment_delta_sec=2.211; observed_track_id=10
img2628-reviewed-0007,7,486.613,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=486.613; pre_alignment_reviewed_ts=484.000; alignment_delta_sec=2.613; observed_track_id=11
img2628-reviewed-0008,8,593.415,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=593.415; pre_alignment_reviewed_ts=590.000; alignment_delta_sec=3.415; observed_track_id=13
img2628-reviewed-0009,9,644.783,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=644.783; pre_alignment_reviewed_ts=642.000; alignment_delta_sec=2.783; observed_track_id=14
img2628-reviewed-0010,10,696.385,reviewer=codex_visual_review; retained from non-disputed draft visual timestamp after event-level dispute reconciliation; Moondream not used as validation truth; source_note=Provisional AI/Codex visual review only; not validation truth and not training eligible without human/reconciled review.; aligned_visible_app_event_ts=696.385; pre_alignment_reviewed_ts=695.000; alignment_delta_sec=1.385; observed_track_id=15
